Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Value,Unit of Measurement,Quality,Resolution,Year,Month,Weekday,Hour
229143,YARRA @ CHANDLER HWY,1992-03-10T09:50:00Z,Quality,2054,Colour (True Filtered) (PCU),35,Pt-Co,65,Raw Data,1992,3,Tue,9
229143,YARRA @ CHANDLER HWY,1992-04-15T11:40:00Z,Quality,2054,Colour (True Filtered) (PCU),45,Pt-Co,65,Raw Data,1992,4,Wed,11
229143,YARRA @ CHANDLER HWY,1992-05-19T09:30:00Z,Quality,2054,Colour (True Filtered) (PCU),40,Pt-Co,65,Raw Data,1992,5,Tue,9
229143,YARRA @ CHANDLER HWY,1992-06-10T11:00:00Z,Quality,2054,Colour (True Filtered) (PCU),50,Pt-Co,65,Raw Data,1992,6,Wed,11
229143,YARRA @ CHANDLER HWY,1992-07-14T11:40:00Z,Quality,2054,Colour (True Filtered) (PCU),75,Pt-Co,65,Raw Data,1992,7,Tue,11
229143,YARRA @ CHANDLER HWY,1992-08-11T10:00:00Z,Quality,2054,Colour (True Filtered) (PCU),35,Pt-Co,65,Raw Data,1992,8,Tue,10
229143,YARRA @ CHANDLER HWY,1992-09-04T09:15:00Z,Quality,2054,Colour (True Filtered) (PCU),90,Pt-Co,65,Raw Data,1992,9,Fri,9
229143,YARRA @ CHANDLER HWY,1992-10-14T11:00:00Z,Quality,2054,Colour (True Filtered) (PCU),110,Pt-Co,65,Raw Data,1992,10,Wed,11
229143,YARRA @ CHANDLER HWY,1992-11-16T08:20:00Z,Quality,2054,Colour (True Filtered) (PCU),70,Pt-Co,65,Raw Data,1992,11,Mon,8
229143,YARRA @ CHANDLER HWY,1992-12-16T10:00:00Z,Quality,2054,Colour (True Filtered) (PCU),35,Pt-Co,65,Raw Data,1992,12,Wed,10
229143,YARRA @ CHANDLER HWY,1993-01-27T10:15:00Z,Quality,2054,Colour (True Filtered) (PCU),75,Pt-Co,65,Raw Data,1993,1,Wed,10
229143,YARRA @ CHANDLER HWY,1993-02-24T10:00:00Z,Quality,2054,Colour (True Filtered) (PCU),60,Pt-Co,65,Raw Data,1993,2,Wed,10
